"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","060610003","1","0.034","ppm","31","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/02/2017","060610003","1","0.034","ppm","31","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/03/2017","060610003","1","0.037","ppm","34","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/04/2017","060610003","1","0.03","ppm","28","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/05/2017","060610003","1","0.026","ppm","24","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/06/2017","060610003","1","0.03","ppm","28","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/07/2017","060610003","1","0.029","ppm","27","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/08/2017","060610003","1","0.033","ppm","31","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/09/2017","060610003","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/10/2017","060610003","1","0.041","ppm","38","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/11/2017","060610003","1","0.038","ppm","35","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
