"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/07/2012","060190007","1","0.011","ppm","10","13","76.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/15/2012","060190007","1","0.038","ppm","35","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/19/2012","060190007","1","0.014","ppm","13","15","88.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/20/2012","060190007","1","0.023","ppm","21","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/21/2012","060190007","1","0.034","ppm","31","14","82.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/22/2012","060190007","1","0.028","ppm","26","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/23/2012","060190007","1","0.025","ppm","23","15","88.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"01/30/2012","060190007","1","0.02","ppm","19","13","76.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/01/2012","060190007","1","0.031","ppm","29","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/06/2012","060190007","1","0.018","ppm","17","13","76.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/10/2012","060190007","1","0.042","ppm","39","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/11/2012","060190007","1","0.037","ppm","34","16","94.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/12/2012","060190007","1","0.031","ppm","29","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/14/2012","060190007","1","0.026","ppm","24","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/15/2012","060190007","1","0.031","ppm","29","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/16/2012","060190007","1","0.029","ppm","27","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/17/2012","060190007","1","0.034","ppm","31","14","82.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/18/2012","060190007","1","0.038","ppm","35","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/19/2012","060190007","1","0.032","ppm","30","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/20/2012","060190007","1","0.035","ppm","32","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/21/2012","060190007","1","0.029","ppm","27","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/22/2012","060190007","1","0.035","ppm","32","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/23/2012","060190007","1","0.036","ppm","33","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
"02/24/2012","060190007","1","0.047","ppm","44","17","100.0000","44201","Ozone","23420","Fresno, CA","06","California","019","Fresno","36.7055057000087","-119.741966039575"
