"Date","AQS_SITE_ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/02/2013","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/03/2013","060290007","1","26","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/04/2013","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/05/2013","060290007","1","27","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/06/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/07/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/08/2013","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/09/2013","060290007","1","36","ppb","34","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/10/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/11/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/12/2013","060290007","1","25","ppb","24","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/13/2013","060290007","1","14","ppb","13","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/14/2013","060290007","1","25","ppb","24","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/15/2013","060290007","1","26","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/16/2013","060290007","1","27","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/17/2013","060290007","1","32","ppb","30","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/18/2013","060290007","1","30","ppb","28","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/19/2013","060290007","1","30","ppb","28","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/20/2013","060290007","1","20","ppb","19","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/21/2013","060290007","1","25","ppb","24","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/22/2013","060290007","1","25","ppb","24","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/23/2013","060290007","1","47","ppb","44","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/24/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/25/2013","060290007","1","11","ppb","10","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/26/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/27/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/28/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/29/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/30/2013","060290007","1","23","ppb","22","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/31/2013","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/01/2013","060290007","1","32","ppb","30","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/02/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/03/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/04/2013","060290007","1","32","ppb","30","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/05/2013","060290007","1","11","ppb","10","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/06/2013","060290007","1","16","ppb","15","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/07/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/08/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/09/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/10/2013","060290007","1","8","ppb","8","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/11/2013","060290007","1","14","ppb","13","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/12/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/13/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/14/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/15/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/16/2013","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/17/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/18/2013","060290007","1","5","ppb","5","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/19/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/20/2013","060290007","1","13","ppb","12","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/21/2013","060290007","1","16","ppb","15","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/22/2013","060290007","1","16","ppb","15","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/23/2013","060290007","1","11","ppb","10","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/24/2013","060290007","1","9","ppb","8","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/25/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/26/2013","060290007","1","16","ppb","15","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/27/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"02/28/2013","060290007","1","26","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/01/2013","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/02/2013","060290007","1","12","ppb","11","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/03/2013","060290007","1","12","ppb","11","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/04/2013","060290007","1","19","ppb","18","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/05/2013","060290007","1","20","ppb","19","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/06/2013","060290007","1","17","ppb","16","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/07/2013","060290007","1","17","ppb","16","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/08/2013","060290007","1","10","ppb","9","24","100.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/09/2013","060290007","1","12","ppb","11","24","100.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/10/2013","060290007","1","11","ppb","10","24","100.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/11/2013","060290007","1","21","ppb","20","24","100.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/12/2013","060290007","1","20","ppb","19","24","100.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/13/2013","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/14/2013","060290007","1","20","ppb","19","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/15/2013","060290007","1","23","ppb","22","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/16/2013","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/17/2013","060290007","1","10","ppb","9","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/18/2013","060290007","1","22","ppb","21","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/19/2013","060290007","1","20","ppb","19","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/20/2013","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/21/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/22/2013","060290007","1","20","ppb","19","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/23/2013","060290007","1","17","ppb","16","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/24/2013","060290007","1","7","ppb","7","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/25/2013","060290007","1","14","ppb","13","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/26/2013","060290007","1","29","ppb","27","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/27/2013","060290007","1","31","ppb","29","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/28/2013","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/29/2013","060290007","1","16","ppb","15","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/30/2013","060290007","1","15","ppb","14","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"03/31/2013","060290007","1","13","ppb","12","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"04/01/2013","060290007","1","21","ppb","20","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
